City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,juba,4.8517,31.5825,21.02,93,93,0.68,SS,1697850529
145,nyurba,63.2842,118.3319,-1.58,83,14,5.53,RU,1697850529
146,hithadhoo,-0.6,73.0833,27.36,77,39,5.78,MV,1697850529
147,newcastle west,52.4492,-9.0611,8.62,96,100,3.78,IE,1697850310
148,antsiranana,-12.2787,49.2917,21.25,90,10,2.88,MG,1697850529
149,port lincoln,-34.7333,135.8667,14.98,49,6,9.4,AU,1697850530
150,carnarvon,-24.8667,113.6333,26.0,40,100,5.06,AU,1697850530
151,horta,38.5333,-28.6333,17.23,84,100,9.39,PT,1697850530
152,molochnoye,59.2917,39.6787,-3.34,90,7,2.34,RU,1697850531
153,hilo,19.7297,-155.09,28.47,76,20,4.12,US,1697850531
154,mu'minobod,38.1085,70.0285,12.35,36,100,2.98,TJ,1697850531
155,uturoa,-16.7333,-151.4333,25.67,84,41,7.25,PF,1697850532
156,hermanus,-34.4187,19.2345,15.7,91,100,9.61,ZA,1697850533
157,luderitz,-26.6481,15.1594,14.61,84,0,3.45,NA,1697850533
158,vorgashor,67.5833,63.95,-1.12,95,100,12.95,RU,1697850533
159,eyl,7.9803,49.8164,26.96,78,12,1.1,SO,1697850533
160,taitung city,22.7583,121.1444,26.15,78,75,4.63,TW,1697850533
161,sodra sandby,56.5667,16.6167,5.92,78,100,14.98,SE,1697850534
162,arno,60.1167,18.6333,3.21,70,77,9.04,SE,1697850534
163,sur,22.5667,59.5289,26.7,61,0,4.12,OM,1697850534
164,bokani,9.4333,5.2,25.21,73,100,0.93,NG,1697850534
165,upata,8.0086,-62.3989,23.0,97,100,2.12,VE,1697850534
166,isangel,-19.55,169.2667,26.06,73,75,3.09,VU,1697850534
167,guerrero negro,27.9769,-114.0611,22.92,76,0,6.88,MX,1697850534
168,miyako,39.6367,141.9525,13.76,50,30,1.49,JP,1697850534
169,hamilton,39.1834,-84.5333,12.8,85,100,4.47,US,1697849928
170,katsuura,35.1333,140.3,19.01,75,77,8.53,JP,1697850535
171,lompoc,34.6391,-120.4579,22.08,85,20,4.47,US,1697850535
172,crane,31.3974,-102.3501,25.34,21,0,5.19,US,1697850280
173,lihue,21.9789,-159.3672,28.58,79,40,8.75,US,1697850535
174,susuman,62.7833,148.1667,-12.32,89,73,1.31,RU,1697850536
175,pangkalpinang,-2.1333,106.1333,27.91,73,100,2.03,ID,1697850537
176,onguday,50.75,86.15,3.45,59,74,1.89,RU,1697850537
177,fale old settlement,-9.3852,-171.2468,28.63,74,30,3.36,TK,1697850537
178,callao,-12.0667,-77.15,20.95,83,100,7.2,PE,1697850538
179,rio grande,-32.035,-52.0986,17.19,83,0,6.07,BR,1697850538
180,changzhi,35.2089,111.7386,16.05,40,54,0.53,CN,1697850539
181,san rafael del yuma,18.4299,-68.6739,27.76,86,0,2.1,DO,1697850539
182,meadow lakes,61.6247,-149.6011,1.17,50,0,2.57,US,1697850540
183,ambon,-3.6954,128.1814,29.08,79,20,1.54,ID,1697850540
184,chibougamau,49.9168,-74.3659,9.79,100,100,2.06,CA,1697850402
185,tolanaro,-25.0319,46.9987,20.49,71,78,3.66,MG,1697850542
186,salekhard,66.53,66.6019,0.57,78,100,11.69,RU,1697850543
187,darwin,-12.4611,130.8418,33.27,58,20,3.6,AU,1697850544
188,porto seguro,-16.4497,-39.0647,24.29,88,75,2.06,BR,1697850544
189,bam,29.106,58.357,21.64,33,0,1.51,IR,1697850545
190,yangiobod,41.1192,70.0941,12.0,50,95,1.94,UZ,1697850545
191,iqaluit,63.7506,-68.5145,-4.15,79,100,5.66,CA,1697850545
192,kodiak,57.79,-152.4072,4.73,48,100,4.12,US,1697850546
